noun_name,noun_cnt
수,384104
것,305952
곳,264813
길,183085
분,181979
거,164636
일,161004
나,149993
때,148326
번,133254
원,131997
시,122221
년,108247
날,103789
중,99437
층,98596
집,97147
월,95983
내,94990
만,92281
전,92101
등,91698
맛,89372
게,88711
차,78772
뷰,77851
앞,74283
듯,69868
저,66848
개,63273
말,62458
데,54122
후,52505
위,50623
쪽,46822
옆,45878
이,45308
줄,44901
건,43358
끝,41660
점,41144
안,40629
존,37746
청,37519
눈,36553
배,36385
인,34674
걸,34162
제,33976
밥,31614
장,31506
물,29947
편,28114
박,27519
대,27012
밤,25893
속,25607
명,25479
꽃,24397
회,23587
주,22756
뒤,21400
천,21211
비,20322
바,20290
숲,19556
산,19544
빵,19430
역,18132
호,14917
둘,13343
영,12251
오,11086
섬,10796
책,9903
샵,9609
샷,9369
사,9150
술,8976
밖,8905
문,8478
손,8250
그,8188
방,8038
짐,7815
돈,7505
탑,6937
룸,6867
씨,6764
강,6599
핫,6451
외,6259
삼,6087
봄,5360
리,4991
백,4930
뮬,4874
맷,4646
종,4334
양,4228
글,4176
선,4056
해,3974
도,3952
반,3936
화,3921
목,3864
빛,3809
절,3622
남,3611
간,3580
촌,3447
쇼,3387
금,3346
상,3213
죽,3097
포,3090
난,3081
애,3074
티,3002
뭐,2968
업,2934
플,2723
달,2651
앤,2595
억,2535
옷,2491
용,2475
발,2385
삶,2326
부,2274
맥,2146
륙,2108
블,2099
조,2096
트,2021
면,1998
관,1919
잔,1857
낮,1853
동,1843
색,1835
너,1704
구,1700
몸,1697
킹,1473
미,1451
스,1327
맘,1295
김,1276
드,1270
키,1245
법,1143
캠,1137
팀,1125
떡,1112
테,1101
컷,1094
평,1078
성,1067
탕,1011
텍,1001
꿈,998
열,970
피,935
펭,899
군,891
초,888
입,881
ㅁ,864
닭,863
교,853
힘,839
복,838
처,825
풀,804
굿,802
살,785
찜,782
팬,774
공,735
자,718
팜,715
엠,712
봉,687
벽,663
땅,635
불,626
밭,587
탐,578
힙,577
향,560
디,550
텔,544
권,514
할,513
컵,499
ㅣ,490
소,488
골,486
왕,475
듀,465
쌈,463
솥,457
갈,442
띠,438
펜,438
십,438
밑,436
토,436
뷔,421
ㄷ,413
터,389
핑,385
세,385
르,376
뼈,356
뻔,353
지,348
표,340
낙,336
톤,334
과,322
딤,315
창,313
홀,310
ㄱ,291
록,282
경,279
겸,265
칠,246
판,240
의,236
국,231
항,231
탠,226
유,224
파,223
당,217
병,210
북,209
실,208
링,204
패,202
떼,198
뜻,197
곰,194
카,190
코,187
랩,187
육,186
짱,184
쓰,180
땐,179
암,172
돌,172
랍,165
딩,163
석,153
팔,152
브,149
노,148
샘,145
풍,145
을,144
송,143
앱,136
히,135
챗,134
춤,133
뱀,131
신,125
완,123
새,122
튀,121
밀,121
를,120
쉘,120
혼,116
농,115
홍,114
규,111
곡,111
